seen,username,id,time,location,votes,star,comment
1,芈阿珞,76950953,2022-11-10 21:25:14,江苏,102,20,…被骗了，评论里说是近年最佳😂现在的柯南这么难看的吗……
1,冰雪聪明shi,shiho4869,2022-04-16 15:56:12,,672,40,大概对柯南来说，不难看就约等于好看了。
1,Sparks,179372904,2022-04-15 22:00:07,,415,50,近十年最佳剧场版。无论是音乐，推理，人设，情怀，都没问题。老粉光看前三十分钟的警校回忆，就热泪盈眶了。没想到最后20min，居然出现了15年前的主题歌。希望新导演再接再厉，明年奉献出《通往深海的倒数计时》
1,透透,43742871,2022-04-17 15:36:09,,331,40,回家码个长评吧。我觉得比赤井秀一一枪射新干线和柯南偷渡新加坡和和叶玩花牌要好看。
1,-,221544469,2022-04-15 22:35:10,,244,50,近年最佳！动作戏看的真的爽，明年希望揭秘琴酒的过往，他是怎么成为杀手的
1,vitzjy,187019837,2022-04-15 11:24:13,,229,50,剧情比去年好多了，主题曲也很好听。就是翻跟头上直升机有点出戏hhh。期待明年的雪莉哈哈
1,同志亦凡人中文站,3540441,2022-06-06 11:47:45,,217,40,在经历十连扑后剧场版终于原地复活了！剧情好燃啊，感觉日本人和俄罗斯人适合相爱相杀...
1,Ｓ．,lemonade,2022-04-15 08:39:56,,233,40,M26预告，琴酒：“啊雪莉”。趁上班前看了7点场…本集虽然槽点依然多，但案件还可以(虽然没有推理以及很好猜犯人)，节奏竟然也不错(尤其前半)！可以说是近年最佳！揭发犯人开始有点拉，但有柯学动作戏马上接上分散剧情槽点就问题不大。有柯南和安室透蒙眼play(真的)。安室透又是逼格拉满已经开始离谱…从大厦楼顶跳回直升机里这还是人类吗？这就是你在地下室里用红酒杯喝白水()的理由吗？但是这些不重要就不吐槽了。警校组的回忆线穿插真是又帅又虐看得我泪目…另外高佐的感情戏竟然意外的很不错(高木的告白看哭了)，没反复强调那套高高类松可真是让我松了口气，长得像的设定也合理利用上了。总的来说值得起个大早。如果要说有啥差了点那就是最后的动作重头戏只是搞了个球堵在スクランブル交差点有点不够看吧。马上想要二刷的程度。
1,Caelusmiro,184000146,2022-04-18 09:38:50,,129,40,满仲劝：怎么做群像？看好了永冈我只教一次
1,李华续写满分,x106207070,2022-04-15 13:32:55,,183,50,回忆穿插做的居然挺好，没有显得很突兀，结婚果然只是个噱头，重点还是警校五人组，摊牌了，我觉得比去年好看，对我来说这就够了，比起做推理，柯南真的更擅长做感情线
1,ekling,ekling,2022-04-16 15:52:48,,79,40,米花町出现了真实的涩谷区和涩谷站 以及人物的一些互动中的对话 看得出这次基本无视以前的设定了 平行世界 不过警察学校的这些人的故事本身青山已经说是平行世界了 到也无所谓还是那句话 日本缺少这种大片感的作品 柯南做到了 而且做得也不赖 赚钱嘛 不寒碜
1,非零,fatenaught,2022-04-16 20:11:04,,56,40,真的不错！小五郎的麻醉梗好像不是每个人都get到了 要素齐全剧情连贯 满意！
1,Manatsu,dujiachen,2022-04-16 22:17:56,,134,50,有点好看，有点意外。演出分镜比之前强了好多倍，菅野祐悟好耶&gt;&lt; 结尾的实拍是自己经常会去到的地方倒是十年前都不敢想的事情，开心。めっちゃ幸せー！（每年四月的发问：再做个贝克街很难吗？）
1,moonpie,162870616,2022-11-13 11:46:11,北京,15,40,为什么炸弹药水就不能流入下水道呢？
1,幸运+++,liuanan0606,2022-11-13 20:34:06,广东,16,40,我要是俄国人最后可不能放弃😅
1,倚风帘,39279260,2022-11-10 21:04:24,江苏,431,30,原来啊。。。涩谷的马路是没有雨水井盖和下水道啊。。。
1,DUVET才没,Grey143,2022-04-15 23:05:25,,28,40,2022映画第5部，4星。好好讲个故事就值得打4星了。不知道青山是不是后悔让警校组便当领的那么快，开始打出回忆杀，不过自然流畅没有特别刻意。原来松田才死了3年，然后这3年间又有2人相继离世，只剩rei。柯南纪年让我十分混乱。有个场景还画出了控制疫情要戴口罩的海报，和现实中的一模一样，可是剧里不仅没人带口罩，还在万圣节聚集在渋谷，只想说，什么鬼。明年剧场版预告，只用了一句话，就换回了电影院里やばいやばい此起彼伏的声音。必须锁定。
