id,name,type,language,country,date,scores,box-office,five,four,three,two,one
26305582,猫王 Elvis,"['剧情', '音乐', '传记']", 英语, 澳大利亚 / 美国,2022-05-25(戛纳电影节),7.0,7359,12.2,37.5,41.4,7.4,1.5
35360684,新神榜：杨戬,"['动作', '动画', '奇幻', '冒险']", 汉语普通话, 中国大陆,2022-08-19(中国大陆),7.0,212259,12.6,37.9,39.9,8.0,1.7
35807455,佐佐木与宫野 OVA 佐々木と宮野 恋に気づく前のちょっとした話。,['动画'], 日语, 日本,2022-07-27(日本),7.5,132,19.2,41.7,35.0,4.2,0.0
35437938,名侦探柯南：万圣节的新娘 名探偵コナン ハロウィンの花嫁,"['动作', '动画', '悬疑']", 日语, 日本,2022-11-18(中国大陆),7.9,16452,32.5,39.3,22.8,4.1,1.4
35693381,蜡笔小新：好别致的影分身 クレヨンしんちゃん もののけニンジャ珍風伝,['动画'], 日语, 日本,2022-04-22(日本),8.6,5718,46.9,36.9,14.0,1.7,0.5
35707087,咏梅,"['动画', '短片']", 汉语普通话, 中国大陆,2022-01-07(中国大陆),8.1,2637,31.3,46.0,19.0,3.1,0.6
26654184,万里归途,"['剧情', '战争']", 汉语普通话 / 阿拉伯语 / 英语, 中国大陆,2022-09-30(中国大陆),7.4,247128,16.7,45.1,31.5,4.6,2.1
35608160,喜羊羊与灰太狼之筐出未来,"['喜剧', '动画', '运动']", 汉语普通话 / 粤语, 中国大陆,2022-02-01(中国大陆),6.8,38233,11.0,31.6,44.2,10.8,2.4
35649759,水果篮子 prelude フルーツバスケット -prelude-,"['爱情', '动画', '奇幻']", 日语, 日本,2022-02-18(日本),8.1,565,35.8,40.3,18.9,3.2,1.8
35675082,航海王：红发歌姬 ONE PIECE FILM RED,['动画'], 日语, 日本,2022-08-06(日本),7.2,3153,22.2,31.4,34.4,9.2,2.8
35377026,熊出没·重返地球,"['喜剧', '动画', '儿童']", 汉语普通话, 中国大陆,2022-02-01(中国大陆),6.5,26601,8.1,25.7,51.5,12.7,2.0
35765781,你好！梅芳草,"['剧情', '爱情', '家庭']", 汉语普通话, 新加坡,2022-02-01(新加坡),6.4,238,11.6,16.4,55.1,15.0,1.9
30449624,暗恋·橘生淮南,['爱情'], 汉语普通话, 中国大陆,2022-06-02(中国大陆),4.2,26653,1.3,4.4,23.4,44.6,26.2
35319389,摇曳露营△ 剧场版 映画 ゆるキャン,['动画'], 日语, 日本,2022-07-01(日本),8.5,1119,46.2,36.2,15.9,1.4,0.4
35417834,五等分的新娘 剧场版 映画 五等分の花嫁,"['爱情', '动画']", 日语, 日本,2022-05-20(日本),8.7,1733,58.2,23.3,14.5,2.5,1.5
35183042,独行月球,"['喜剧', '科幻']", 汉语普通话 / 英语, 中国大陆,2022-07-29(中国大陆),6.7,575774,10.7,31.0,43.0,11.9,3.2
35337517,四海,"['喜剧', '动作', '爱情']", 汉语普通话, 中国大陆,2022-02-01(中国大陆),5.4,217415,4.1,14.9,37.8,31.2,12.1
35505100,这个杀手不太冷静,['喜剧'], 汉语普通话, 中国大陆,2022-02-01(中国大陆),6.2,493308,3.8,23.3,53.5,16.1,3.3
35118954,子弹列车 Bullet Train,"['喜剧', '动作', '惊悚']", 英语 / 日语 / 西班牙语 / 俄语, 美国 / 日本,2022-08-03(洛迦诺电影节),7.9,150520,25.2,47.5,23.7,2.9,0.7
26710112,十年一品温如言,"['剧情', '爱情']", 汉语普通话, 中国大陆,2022-02-14(中国大陆),2.8,46169,0.4,0.9,6.2,24.2,68.3
26642033,小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,"['喜剧', '科幻', '动画', '犯罪', '冒险']", 英语 / 越南语, 美国,2022-08-19(中国大陆),7.1,118664,13.0,36.4,44.0,6.0,0.7
35234581,大话西游：缘起,"['喜剧', '爱情']", 汉语普通话, 中国大陆,2022-02-11(中国大陆网络),5.8,9630,4.5,16.8,50.0,19.5,9.3
35768795,陈翔六点半之拳王妈妈,"['喜剧', '动作']", 汉语普通话, 中国大陆,2022-02-18(中国大陆),5.3,8927,3.3,10.0,45.8,27.5,13.3
36035677,新大头儿子和小头爸爸5：我的外星朋友,"['喜剧', '动画', '家庭', '儿童']", 汉语普通话, 中国大陆,2022-10-01(中国大陆),5.7,3399,9.4,19.9,36.3,17.0,17.5
6424756,新蝙蝠侠 The Batman,"['剧情', '动作', '悬疑', '犯罪']", 英语, 美国,2022-03-18(中国大陆),7.2,285854,12.6,44.4,36.5,5.6,0.9
35230876,沼泽深处的女孩 Where the Crawdads Sing,"['剧情', '爱情', '悬疑']", 英语, 美国,2022-11-25(中国大陆),7.7,28592,27.0,38.0,27.6,5.6,1.7
35192672,边缘行者,"['动作', '悬疑', '犯罪']", 汉语普通话 / 粤语, 中国大陆 / 中国香港,2022-04-15(中国大陆),5.0,33527,1.9,7.2,39.4,40.7,10.7
34832354,魔女2 마녀 Part2. The Other One,"['动作', '悬疑']", 韩语 / 英语 / 汉语普通话, 韩国,2022-06-15(韩国),6.1,36711,8.4,18.7,47.2,20.6,5.1
35240235,不 Nope,"['科幻', '悬疑', '惊悚', '恐怖']", 英语, 美国 / 日本 / 加拿大,2022-07-22(美国),6.8,57187,11.3,35.0,40.1,10.4,3.2
27203644,尼罗河上的惨案 Death on the Nile,"['剧情', '悬疑', '犯罪']", 英语, 美国 / 英国,2022-02-19(中国大陆),5.7,88548,2.1,14.0,57.1,23.0,3.9
35073886,分手的决心 헤어질 결심,"['剧情', '悬疑', '犯罪']", 韩语 / 汉语普通话, 韩国,2022-05-23(戛纳电影节),7.6,188794,18.7,47.4,29.4,3.6,0.8
26995893,神探大战 神探大戰,"['动作', '悬疑', '犯罪']", 汉语普通话 / 粤语, 中国香港 / 中国大陆,2022-07-08(中国大陆),6.7,265481,6.2,35.7,47.5,9.1,1.5
34970503,孤儿怨：首杀 Orphan: First Kill,"['悬疑', '惊悚', '恐怖', '犯罪']", 英语 / 爱沙尼亚语, 美国,2022-07-27(菲律宾),5.5,21893,3.7,10.6,48.0,30.7,6.9
35914264,山村狐妻,"['悬疑', '惊悚']", 汉语普通话, 中国大陆,2022-06-02(中国大陆网络),6.5,11869,5.3,31.4,49.6,12.1,1.6
26926448,青面修罗,"['剧情', '动作', '悬疑']", 汉语普通话, 中国大陆 / 中国香港,2022-05-13(中国大陆网络),4.1,7057,1.3,3.2,23.9,44.6,27.1
35182979,远山淡影,"['剧情', '悬疑']", 汉语普通话, 中国大陆,2022-06-18(中国大陆/法国),6.6,6921,7.5,29.0,49.3,12.2,2.0
35814526,开棺,"['悬疑', '惊悚']", 汉语普通话, 中国大陆,2022-05-02(中国大陆网络),5.0,5569,1.5,7.4,45.4,32.9,12.7
35294952,新洗冤录,"['悬疑', '犯罪', '奇幻', '古装']", 汉语普通话, 中国大陆,2022-01-06(中国大陆),4.3,4505,1.3,2.0,29.4,44.9,22.4
35430833,塔尔 Tár,"['剧情', '音乐']", 德语 / 菲律宾语 / 法语 / 英语, 美国,2022-09-01(威尼斯电影节),7.5,978,22.4,40.5,29.6,5.5,2.0
36090857,赛琳娜·戈麦斯：我的思想和我 Selena Gomez: My Mind and Me,"['纪录片', '音乐', '传记']", 英语, 美国,2022-11-04(美国网络),7.6,1296,32.9,31.4,24.6,6.0,5.2
26873582,侏罗纪世界3 Jurassic World: Dominion,"['动作', '科幻', '冒险']", 英语, 美国 / 马耳他,2022-06-10(美国/中国大陆),6.0,219738,4.7,19.7,52.4,19.6,3.6
3042261,西线无战事 Im Westen nichts Neues,"['剧情', '动作', '战争']", 德语 / 法语 / 英语, 德国 / 美国 / 英国,2022-09-12(多伦多电影节),8.6,63531,44.2,42.2,12.0,1.3,0.4
35779959,危笑 Smile,['恐怖'], 英语, 美国,2022-09-22(奇幻影展),6.3,22761,6.6,23.5,51.1,15.8,2.9
35441582,6/45 육사오,"['剧情', '喜剧']", 韩语, 韩国,2022-08-24(韩国),7.7,26344,18.6,49.2,29.6,2.2,0.3
35240874,共助2：国际 공조2:인터내셔날,['动作'], 韩语, 韩国,2022-09-07(韩国),7.1,16717,12.8,37.6,43.8,5.1,0.7
26959697,黑亚当 Black Adam,"['动作', '科幻', '奇幻', '冒险']", 英语, 美国 / 加拿大 / 新西兰 / 匈牙利,2022-10-19(法国),6.1,8290,4.9,20.7,51.8,18.6,4.0
35694766,火山挚恋 Fire of Love,['纪录片'], 法语 / 英语, 加拿大 / 美国,2022-01-20(圣丹斯电影节),8.9,6559,55.2,36.9,7.4,0.4,0.1
35461749,福尔摩斯小姐：伦敦厄运 Enola Holmes 2,"['剧情', '动作', '悬疑', '犯罪', '冒险']", 英语, 英国 / 美国,2022-11-04(美国网络),6.6,7136,6.4,27.1,56.3,8.8,1.4
35801819,珀尔 Pearl,['恐怖'], 英语 / 德语, 美国 / 加拿大,2022-09-03(威尼斯电影节),7.3,22898,14.2,43.3,36.7,4.8,1.1
