seen,username,id,time,location,votes,star,comment
1,饮歌,35790692,2022-09-10 00:57:43,加拿大,107,30,别太认真，还能看。一锅乱炖，光是主角我就以为换了三次。生化人登场那一幕，影院里响起的各路笑声，再搭配上一点也没有在客气的血浆，倒是让人看到几分cult片的影子。
1,星随心走,175737802,2022-10-25 20:08:42,贵州,35,10,南朝鲜也整不出什么花样了
1,吞云吐雾狮子兔,zbar1234,2022-10-30 15:48:05,新疆,62,30,这部电影99%的预算估计都用来买血浆了=.=
1,李湘,leexiang,2022-10-25 20:07:02,湖南,59,40,拳拳到肉。血肉模糊。打戏酣畅淋漓。看得我肉痛。拍得不错。全程无尿点。我都舍不得去上厕所。剧情非常紧凑。而且有好几处反转。有时候都不知道到底谁是好人谁是坏人。
1,周宇勋,124623415,2022-10-28 19:16:46,吉林,64,30,1.用货运船只押运囚犯，且执行前完全不彻底清查船只是否存有异样（这么大一生化怪人藏在船上无人发觉），看得出韩国警方在编剧这都成了饭桶无疑。2.生化怪人出场即高能，战斗力过强（老徐几无还手之力便惨领盒饭），所以原本「人打怪」的合理剧情陡然一变成了「怪打怪」，不得不说编剧这「天马行空见风使舵」的能力真的厉害（不合逻辑且割裂感强）3.看得出电影预算有限，毕竟作为「血浆」电影，蕃茄酱与红油漆的稀释度有些太高了（我点杯草莓味果茶大概都比这要红）。4. 「BOSS」布置任务为何要特地安排一个男人在接电话时给他「口交」？这是剧情需要还是只为满足导演的恶趣味不得而知。5.在我看来，全片最好看的既不是满屏的残肢断臂，也不是解压的血肉横飞，而是徐仁国的屁股（不过真挺肥啊！）
1,陈囿,xoxonino,2022-10-29 21:31:23,北京,104,20,人物一出来感觉各个都挺有故事，没想到只是不同款式的血袋
1,县豪,77550974,2022-11-03 16:48:40,重庆,24,30,生化人杀日本人那里太解恨了。
1,主持人 刘泽,68540818,2022-10-25 22:14:25,广东,28,50,动作片该有的样子这部片都有，暴力、血腥、干脆，爽死了，真的好爽……
1,大野健一,62169194,2022-10-26 07:48:16,山东,68,20,boss是个英俊但邪恶的gay吗，几把捅死在口的男的也是够猎奇的
1,影君子,li-trust,2022-10-13 16:15:08,北京,27,20,日本的人体实验 加上各种血浆 真的够可以的
1,一條魚佔滿了河,BlindwolfHyn,2022-10-29 22:27:27,北京,24,20,故事伊始，就覺得底層邏輯不對，往下看才發現我還是想多了，整個故事就壓根沒有邏輯，只有放下腦子才能看得下去，但是要說感官刺激有多爽也並沒有，雖然簡單粗暴中有一點B級片cult味，但是打戲根本談不上動作設計，唯一值得一誇的就是血漿撒得相當不客氣。PS.我從來沒想過，成東日也會有那麼多動作戲……
1,寂寞的枕头,121844395,2022-11-03 13:29:13,上海,15,30,还不错的血浆片，主角有些出人意料。最大的败笔就是导演用了太多小鲜肉演员，在表现上反而拖了后腿。目前的豆瓣评分太低了，这片起码7左右，才合理！
1,superfat0204,140419456,2022-10-24 23:48:54,北京,7,20,韩国今年又一部血腥度爆表的大屠杀片。放在《金蝉脱壳》那么个海上环境。但是杂合的元素太多了。看着有点傻和不伦不类。看个热闹完了。
1,局外人,145119364,2022-10-27 00:31:38,浙江,36,40,暴雪山庄，大逃杀，无人生还，这种模式永远不会过时～
1,浮南蕴北,174528635,2022-10-31 19:28:09,安徽,5,20,人均在线装B，无脑暴力爽片，子弹血浆四溅，人命不如纸片。
1,MountainsEcho,225819469,2022-09-19 04:30:59,加拿大,37,30,被诈骗了，说是徐仁国主演结果主角一小时就虚无下线。导演采访说用了好几吨（？）的血浆，果然真的就是纯纯洒血，电影后半才开始剧情起色。不过这次算是一亿颗星星剧组团建了那就谢谢导演吧（金武英刘真江卓警官居然还有严初珑！
1,yѧѳ⑉爻,93484113,2022-10-29 15:14:27,辽宁,14,30,真正的男主从后半才浮现 我真的不知道还有林周焕！！
1,popcorn,88693024,2022-09-17 15:38:34,加拿大,19,30,TIFF 2022 3.5/5 好怪 好cult 好解压 不要细想
1,牛奶很忙,boringq,2022-11-01 17:45:56,山东,2,30,航班蛇患之魔女，韩国人真的很会拍血浆，痛感和爽感不逊哭悲，压迫力和残忍性也很有张力，很适合打造为韩国的砍杀片IP，加油啊韩国电影
1,唐朝,petertang,2022-11-07 13:42:15,北京,1,20,指定是从血浆制造商拿回扣了！！！血肉横飞，杀得尽心
